instance_name,id,active,name,officialName,email,currency,phoneNumber,invoiceHeader,invoiceMessage,defaultTaxRate,authorizationParagraph,acknowledgementParagraph,address,addressstreet,addressunit,addresscity,addressstate,addresszip,addresscountry,materialSku,quickbooksClass,accountCode,franchiseId,conceptCode,corporateContractNumber,tenant,tenantid,tenantname,tenantaccountCode,tenantfranchiseId,tenantconceptCode,tenantmodifiedOn,createdOn,modifiedOn,externalData
Expert Heating and Cooling Co LLC,1034876,true,10EXP-Resid AOR,Expert Residential AOR,info@expertheatcool.com,USD,(734) 676-4488,Expert Heating and Cooling Co.24400 Northline Road Taylor Michigan 48180(734) 676-4488,Thank you for choosing Expert Heating and Cooling,null,This invoice is agreed and acknowledged.  Payment is due upon receipt.  A service fee will be charged for any returned checks and a finance charge of 1% per month may be applied for overdue amounts.,I find and agree that all work performed by {BusinessUnitOfficialName} has been completed in a satisfactory and workmanlike manner. I have been given the opportunity to address concerns and/or discrepancies in the work provided and I either have no such concerns or have found no discrepancies or they have been addressed to my satisfaction. My signature here signifies my full and final acceptance of all work performed by the contractor.,null,24400 Northline Road,null,Taylor,MI,48180,USA,null,null,null,null,NotSet,null,null,1011756844,expertheatingcoolingco,null,null,NotSet,2023-08-17T07:24:46.577985Z,0001-01-01T00:00:00Z,2023-09-29T15:40:39.8195101Z,null
Expert Heating and Cooling Co LLC,1034877,true,20EXP-Resid NC,Expert Residential New Const,info@expertheatcool.com,USD,(734) 676-4488,Expert Heating and Cooling Co.24400 Northline Road Taylor Michigan 48180(734) 676-4488,Thank you for choosing Expert Heating and Cooling,null,This invoice is agreed and acknowledged.  Payment is due upon receipt.  A service fee will be charged for any returned checks and a finance charge of 1% per month may be applied for overdue amounts.,I find and agree that all work performed by {BusinessUnitOfficialName} has been completed in a satisfactory and workmanlike manner. I have been given the opportunity to address concerns and/or discrepancies in the work provided and I either have no such concerns or have found no discrepancies or they have been addressed to my satisfaction. My signature here signifies my full and final acceptance of all work performed by the contractor.,null,24400 Northline Road,null,Taylor,MI,48180,USA,null,null,null,null,NotSet,null,null,1011756844,expertheatingcoolingco,null,null,NotSet,2023-08-17T07:24:46.577985Z,0001-01-01T00:00:00Z,2023-09-26T17:22:18.8054072Z,null
Expert Heating and Cooling Co LLC,1034878,true,30EXP-Comm AOR,Expert Commercial AOR,ccain@expertheatcool.com,USD,(734) 676-4488,Expert Heating and Cooling Co.24400 Northline Road Taylor Michigan 48180(734) 676-4488,Thank you for choosing Expert Heating and Cooling,null,This invoice is agreed and acknowledged.  Payment is due upon receipt.  A service fee will be charged for any returned checks and a finance charge of 1% per month may be applied for overdue amounts.,I find and agree that all work performed by {BusinessUnitOfficialName} has been completed in a satisfactory and workmanlike manner. I have been given the opportunity to address concerns and/or discrepancies in the work provided and I either have no such concerns or have found no discrepancies or they have been addressed to my satisfaction. My signature here signifies my full and final acceptance of all work performed by the contractor.,null,24400 Northline Road,null,Taylor,MI,48180,USA,null,null,null,null,NotSet,null,null,1011756844,expertheatingcoolingco,null,null,NotSet,2023-08-17T07:24:46.577985Z,0001-01-01T00:00:00Z,2023-09-26T17:22:30.4193049Z,null
Expert Heating and Cooling Co LLC,1034879,true,40EXP-Comm NC,Expert Commercial New Constr,ccain@expertheatcool.com,USD,(734) 676-4488,Expert Heating and Cooling Co.24400 Northline Road Taylor Michigan 48180(734) 676-4488,Thank you for choosing Expert Heating and Cooling,null,This invoice is agreed and acknowledged.  Payment is due upon receipt.  A service fee will be charged for any returned checks and a finance charge of 1% per month may be applied for overdue amounts.,I find and agree that all work performed by {BusinessUnitOfficialName} has been completed in a satisfactory and workmanlike manner. I have been given the opportunity to address concerns and/or discrepancies in the work provided and I either have no such concerns or have found no discrepancies or they have been addressed to my satisfaction. My signature here signifies my full and final acceptance of all work performed by the contractor.,null,24400 Northline Road,null,Taylor,MI,48180,USA,null,null,null,null,NotSet,null,null,1011756844,expertheatingcoolingco,null,null,NotSet,2023-08-17T07:24:46.577985Z,0001-01-01T00:00:00Z,2023-09-26T17:22:42.6672648Z,null
Expert Heating and Cooling Co LLC,1034880,true,50EXP-Resid Service,Expert Residential Service,info@expertheatcool.com,USD,(734) 676-4488,Expert Heating and Cooling Co.24400 Northline Road Taylor Michigan 48180(734) 676-4488,Thank you for choosing Expert Heating and Cooling,null,This invoice is agreed and acknowledged.  Payment is due upon receipt.  A service fee will be charged for any returned checks and a finance charge of 1% per month may be applied for overdue amounts.,I find and agree that all work performed by {BusinessUnitOfficialName} has been completed in a satisfactory and workmanlike manner. I have been given the opportunity to address concerns and/or discrepancies in the work provided and I either have no such concerns or have found no discrepancies or they have been addressed to my satisfaction. My signature here signifies my full and final acceptance of all work performed by the contractor.,null,24400 Northline Road,null,Taylor,MI,48180,USA,null,null,null,null,NotSet,null,null,1011756844,expertheatingcoolingco,null,null,NotSet,2023-08-17T07:24:46.577985Z,0001-01-01T00:00:00Z,2023-09-29T15:41:04.3807261Z,null
Expert Heating and Cooling Co LLC,1034881,true,60EXP-Comm Service,Expert Commercial Service,info@expertheatcool.com,USD,(734) 676-4488,Expert Heating and Cooling Co.24400 Northline Road Taylor Michigan 48180(734) 676-4488,Thank you for choosing Expert Heating and Cooling,null,This invoice is agreed and acknowledged.  Payment is due upon receipt.  A service fee will be charged for any returned checks and a finance charge of 1% per month may be applied for overdue amounts.,I find and agree that all work performed by {BusinessUnitOfficialName} has been completed in a satisfactory and workmanlike manner. I have been given the opportunity to address concerns and/or discrepancies in the work provided and I either have no such concerns or have found no discrepancies or they have been addressed to my satisfaction. My signature here signifies my full and final acceptance of all work performed by the contractor.,null,24400 Northline Road,null,Taylor,MI,48180,USA,null,null,null,null,NotSet,null,null,1011756844,expertheatingcoolingco,null,null,NotSet,2023-08-17T07:24:46.577985Z,0001-01-01T00:00:00Z,2023-09-26T17:23:16.4575848Z,null
Expert Heating and Cooling Co LLC,1034882,true,70EXP-OTC,Expert Over the Counter,pgravlin@expertheatcool.com,USD,(734) 676-4488,Expert Heating and Cooling Co.24400 Northline Road Taylor Michigan 48180(734) 676-4488,Thank you for choosing Expert Heating and Cooling,null,This invoice is agreed and acknowledged.  Payment is due upon receipt.  A service fee will be charged for any returned checks and a finance charge of 1% per month may be applied for overdue amounts.,I find and agree that all work performed by {BusinessUnitOfficialName} has been completed in a satisfactory and workmanlike manner. I have been given the opportunity to address concerns and/or discrepancies in the work provided and I either have no such concerns or have found no discrepancies or they have been addressed to my satisfaction. My signature here signifies my full and final acceptance of all work performed by the contractor.,null,null,null,null,null,null,null,null,null,null,null,NotSet,null,null,1011756844,expertheatingcoolingco,null,null,NotSet,2023-08-17T07:24:46.577985Z,0001-01-01T00:00:00Z,2023-09-26T17:23:27.1982882Z,null
Expert Heating and Cooling Co LLC,1034883,true,80EXP-Resid Maint,Expert Residential Maintenance,info@expertheatcool.com,USD,(734) 676-4488,Expert Heating and Cooling24400 Northline Road Taylor Michigan 48180(734) 676-4488,Thank you for choosing Expert Heating and Cooling,null,This invoice is agreed and acknowledged.  Payment is due upon receipt.  A service fee will be charged for any returned checks and a finance charge of 1% per month may be applied for overdue amounts.,I find and agree that all work performed has been completed in a satisfactory and workmanlike manner. I have been given the opportunity to address concerns and/or discrepancies in the work provided and I either have no such concerns or have found no discrepancies or they have been addressed to my satisfaction. My signature here signifies my full and final acceptance of all work performed by the contractor.,null,24400 Northline Road,null,Taylor,MI,48180,USA,null,null,null,null,NotSet,null,null,1011756844,expertheatingcoolingco,null,null,NotSet,2023-08-17T07:24:46.577985Z,0001-01-01T00:00:00Z,2023-09-29T15:41:17.3348025Z,null
Expert Heating and Cooling Co LLC,1034884,true,90EXP-Comm Maint,Expert Commercial Maintenance,acarlos@expertheatcool.com,USD,(734) 676-4488,Expert Heating and Cooling Co.24400 Northline Road Taylor Michigan 48180(734) 676-4488,Thank you for choosing Expert Heating and Cooling,null,This invoice is agreed and acknowledged.  Payment is due upon receipt.  A service fee will be charged for any returned checks and a finance charge of 1% per month may be applied for overdue amounts.,I find and agree that all work performed by {BusinessUnitOfficialName} has been completed in a satisfactory and workmanlike manner. I have been given the opportunity to address concerns and/or discrepancies in the work provided and I either have no such concerns or have found no discrepancies or they have been addressed to my satisfaction. My signature here signifies my full and final acceptance of all work performed by the contractor.,null,24400 Northline Road,null,Taylor,MI,48180,USA,null,null,null,null,NotSet,null,null,1011756844,expertheatingcoolingco,null,null,NotSet,2023-08-17T07:24:46.577985Z,0001-01-01T00:00:00Z,2023-09-26T17:24:02.2430928Z,null
Expert Heating and Cooling Co LLC,1951850,true,EXP00-HEAD OFFICE,EXP00 HEAD OFFICE,pgravlin@expertheatcool.com,USD,(734) 676-4488,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NotSet,null,null,1011756844,expertheatingcoolingco,null,null,NotSet,2023-08-17T07:24:46.577985Z,2022-02-23T17:59:22.6151722Z,2023-09-26T17:24:12.8664302Z,null
Expert Heating and Cooling Co LLC,1951978,true,EXP01-ADMIN/OFFICE,EXP01-ADMINISTRATION/OFFICE,pgravlin@expertheatcool.com,USD,(734) 676-4488,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NotSet,null,null,1011756844,expertheatingcoolingco,null,null,NotSet,2023-08-17T07:24:46.577985Z,2022-02-23T18:00:33.6397568Z,2023-09-26T17:24:23.7063386Z,null
Expert Heating and Cooling Co LLC,1952106,true,EXP03-SHEET METAL SHOP,EXP03-SHEET METAL SHOP,pgravlin@expertheatcool.com,USD,(734) 676-4488,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NotSet,null,null,1011756844,expertheatingcoolingco,null,null,NotSet,2023-08-17T07:24:46.577985Z,2022-02-23T18:01:16.8301171Z,2023-09-26T17:24:43.998773Z,null
Expert Heating and Cooling Co LLC,1952234,true,EXP04-FACILITY/BLDG,EXP04-FACILITY/BLDG,pgravlin@expertheatcool.com,USD,(734) 676-4488,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NotSet,null,null,1011756844,expertheatingcoolingco,null,null,NotSet,2023-08-17T07:24:46.577985Z,2022-02-23T18:01:58.410953Z,2023-09-26T17:24:54.7704987Z,null
Expert Heating and Cooling Co LLC,1952362,true,EXP02-WAREHOUSE,EXP02-WAREHOUSE,pgravlin@expertheatcool.com,USD,(734) 676-4488,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NotSet,null,null,1011756844,expertheatingcoolingco,null,null,NotSet,2023-08-17T07:24:46.577985Z,2022-02-23T18:03:32.496586Z,2023-09-26T17:24:34.0767508Z,null
Expert Heating and Cooling Co LLC,55786506,true,51EST-Resid Service,Expert Residential Service,info@expertheatcool.com,USD,(313) 822-6633,Expert Heating and Cooling Co.18139 E 9 Mile Rd.Eastpointe MI  48021(313) 822-6633,Thank you for choosing Expert Heating and Cooling,null,This invoice is agreed and acknowledged.  Payment is due upon receipt.  A service fee will be charged for any returned checks and a finance charge of 1% per month may be applied for overdue amounts.,I find and agree that all work performed has been completed in a satisfactory and workmanlike manner. I have been given the opportunity to address concerns and/or discrepancies in the work provided and I either have no such concerns or have found no discrepancies or they have been addressed to my satisfaction. My signature here signifies my full and final acceptance of all work performed by the contractor.,null,18139 East 9 Mile Road,null,Eastpointe,MI,48021,USA,null,null,null,null,NotSet,null,null,1011756844,expertheatingcoolingco,null,null,NotSet,2023-08-17T07:24:46.577985Z,2022-09-08T20:20:01.9559007Z,2023-09-26T17:23:05.0670129Z,null
Expert Heating and Cooling Co LLC,55793158,true,11EST-Resid AOR,Expert Residential AOR,info@expertheatcool.com,USD,(313) 822-6633,Expert Heating and Cooling18139 E 9 Mile Rd.Eastpointe MI  48021313-822-6633,Thank you for choosing Expert Heating and Cooling,null,This invoice is agreed and acknowledged.  Payment is due upon receipt.  A service fee will be charged for any returned checks and a finance charge of 1% per month may be applied for overdue amounts.,I find and agree that all work performed by Expert Heating & Cooling has been completed in a satisfactory and workmanlike manner. I have been given the opportunity to address concerns and/or discrepancies in the work provided and I either have no such concerns or have found no discrepancies or they have been addressed to my satisfaction. My signature here signifies my full and final acceptance of all work performed by the contractor.,null,18139 E 9 Mile Rd.,null,Eastpointe,Michigan,48021,USA,null,null,null,null,NotSet,null,null,1011756844,expertheatingcoolingco,null,null,NotSet,2023-08-17T07:24:46.577985Z,2022-09-08T20:03:02.8581213Z,2023-09-29T15:40:51.9713888Z,null
Expert Heating and Cooling Co LLC,55794188,true,81EST-Resid Maint,Expert Residential Maintenance,info@expertheatcool.com,USD,(313) 822-6633,Expert Heating and Cooling18139 E 9 Mile Rd.Eastpointe MI  48021(313) 822-6633,Thank you for choosing Expert Heating and CoolingNot just a name... it's the truth!,null,This invoice is agreed and acknowledged.  Payment is due upon receipt.  A service fee will be charged for any returned checks and a finance charge of 1% per month may be applied for overdue amounts.,I find and agree that all work has been completed in a satisfactory and workmanlike manner. I have been given the opportunity to address concerns and/or discrepancies in the work provided and I either have no such concerns or have found no discrepancies or they have been addressed to my satisfaction. My signature here signifies my full and final acceptance of all work performed by the contractor.,null,18139 East 9 Mile Road,null,Eastpointe,MI,48021,USA,null,null,null,null,NotSet,null,null,1011756844,expertheatingcoolingco,null,null,NotSet,2023-08-17T07:24:46.577985Z,2022-09-08T20:30:37.877767Z,2023-09-29T15:41:28.6378184Z,null
