id,80822149
active,true
number,609
referenceNumber,10281959
status,CreditReceived
vendorId,13473373
purchaseOrderId,80353176
jobId,null
businessUnitId,1951850
inventoryLocationId,110
createdById,13492699
memo,CANCELED JOB
returnAmount,3594.51
taxAmount,203.46
shippingAmount,0
returnDate,2023-08-17T00:00:00Z
returnedOn,2023-08-17T00:00:00Z
creditReceivedOn,2023-09-05T00:00:00Z
createdOn,2023-08-17T14:30:20.5843996Z
modifiedOn,2023-09-05T12:29:14.336771Z
batchId,81239230
syncStatus,Exported
items,null
itemsitems0id,80822150
itemsitems0skuId,75072167
itemsitems0name,24SPA630W003K
itemsitems0code,24SPA630W003K
itemsitems0description,2.5 TON 16 SEER SINGLE PHASE CONDENSER REPLACES 24ACC630
itemsitems0quantity,1
itemsitems0cost,1556
itemsgeneralLedgerAccount,null
itemsitems0items0generalLedgerAccountname,50060-COGS - Equipment_INV
itemsitems0items0generalLedgerAccountnumber,186
itemsitems0items0generalLedgerAccounttype,Income
itemsitems0items0generalLedgerAccountdetailType,Income
itemscostOfSaleAccount,null
itemsitems0items0costOfSaleAccountname,Cost of Goods Sold:Equipment
itemsitems0items0costOfSaleAccountnumber,5002
itemsitems0items0costOfSaleAccounttype,Cost of Goods Sold
itemsitems0items0costOfSaleAccountdetailType,Expense
itemsitems0assetAccount,null
itemsitems1id,80822151
itemsitems1skuId,55133065
itemsitems1name,CVPVA3017XMC
itemsitems1code,CVPVA3017XMC
itemsitems1description,CASED V-COIL 2.5 TON
itemsitems1quantity,1
itemsitems1cost,264
itemsitems1items1generalLedgerAccountname,50060-COGS - Equipment_INV
itemsitems1items1generalLedgerAccountnumber,186
itemsitems1items1generalLedgerAccounttype,Income
itemsitems1items1generalLedgerAccountdetailType,Income
itemsitems1items1costOfSaleAccountname,Cost of Goods Sold:Equipment
itemsitems1items1costOfSaleAccountnumber,5002
itemsitems1items1costOfSaleAccounttype,Cost of Goods Sold
itemsitems1items1costOfSaleAccountdetailType,Expense
itemsassetAccount,null
itemsitems1items1assetAccountname,Inventory
itemsitems1items1assetAccountnumber,1200
itemsitems1items1assetAccounttype,Other Current Asset
itemsitems1items1assetAccountdetailType,Asset
itemsitems2id,80822152
itemsitems2skuId,72577098
itemsitems2name,*EL3232-3
itemsitems2code,*EL3232-3
itemsitems2description,E Lite® Pad 32x32x3 (16)
itemsitems2quantity,1
itemsitems2cost,34.56
itemsitems2items2generalLedgerAccountname,50050-COGS - Materials_NON-INV
itemsitems2items2generalLedgerAccountnumber,188
itemsitems2items2generalLedgerAccounttype,Income
itemsitems2items2generalLedgerAccountdetailType,Income
itemsitems2items2costOfSaleAccountname,Cost of Goods Sold:Materials
itemsitems2items2costOfSaleAccountnumber,5001
itemsitems2items2costOfSaleAccounttype,Cost of Goods Sold
itemsitems2items2costOfSaleAccountdetailType,Expense
itemsitems2assetAccount,null
itemsitems3id,80822153
itemsitems3skuId,72572712
itemsitems3name,*6-12-6NM
itemsitems3code,*6-12-6NM
itemsitems3description,WHIP 1/2" X 6' NON-MET
itemsitems3quantity,1
itemsitems3cost,14.31
itemsitems3items3generalLedgerAccountname,50050-COGS - Materials_NON-INV
itemsitems3items3generalLedgerAccountnumber,188
itemsitems3items3generalLedgerAccounttype,Income
itemsitems3items3generalLedgerAccountdetailType,Income
itemsitems3items3costOfSaleAccountname,Cost of Goods Sold:Materials
itemsitems3items3costOfSaleAccountnumber,5001
itemsitems3items3costOfSaleAccounttype,Cost of Goods Sold
itemsitems3items3costOfSaleAccountdetailType,Expense
itemsitems3assetAccount,null
itemsitems4id,80822154
itemsitems4skuId,15116242
itemsitems4name,13156
itemsitems4code,13156
itemsitems4description,30F DISCONNECT
itemsitems4quantity,1
itemsitems4cost,23.52
itemsitems4items4generalLedgerAccountname,50050-COGS - Materials_INV
itemsitems4items4generalLedgerAccountnumber,185
itemsitems4items4generalLedgerAccounttype,Income
itemsitems4items4generalLedgerAccountdetailType,Income
itemsitems4items4costOfSaleAccountname,Cost of Goods Sold:Materials
itemsitems4items4costOfSaleAccountnumber,5001
itemsitems4items4costOfSaleAccounttype,Cost of Goods Sold
itemsitems4items4costOfSaleAccountdetailType,Expense
itemsitems4items4assetAccountname,Inventory
itemsitems4items4assetAccountnumber,1200
itemsitems4items4assetAccounttype,Other Current Asset
itemsitems4items4assetAccountdetailType,Asset
itemsitems5id,80822155
itemsitems5skuId,15118477
itemsitems5name,38LS-934---501A-(R5)
itemsitems5code,38LS-934---501A-(R5)
itemsitems5description,(R5) 3/8X3/4 50' LINESET
itemsitems5quantity,1
itemsitems5cost,242
itemsitems5items5generalLedgerAccountname,50050-COGS - Materials_INV
itemsitems5items5generalLedgerAccountnumber,185
itemsitems5items5generalLedgerAccounttype,Income
itemsitems5items5generalLedgerAccountdetailType,Income
itemsitems5items5costOfSaleAccountname,Cost of Goods Sold:Materials
itemsitems5items5costOfSaleAccountnumber,5001
itemsitems5items5costOfSaleAccounttype,Cost of Goods Sold
itemsitems5items5costOfSaleAccountdetailType,Expense
itemsitems5items5assetAccountname,Inventory
itemsitems5items5assetAccountnumber,1200
itemsitems5items5assetAccounttype,Other Current Asset
itemsitems5items5assetAccountdetailType,Asset
itemsitems6id,80822156
itemsitems6skuId,72581542
itemsitems6name,*VCMA15ULS
itemsitems6code,*VCMA15ULS
itemsitems6description,LARGE CONDENSATE PUMP W/SWITCH LITTLE GIANT
itemsitems6quantity,1
itemsitems6cost,40.92
itemsitems6items6generalLedgerAccountname,50050-COGS - Materials_NON-INV
itemsitems6items6generalLedgerAccountnumber,188
itemsitems6items6generalLedgerAccounttype,Income
itemsitems6items6generalLedgerAccountdetailType,Income
itemsitems6items6costOfSaleAccountname,Cost of Goods Sold:Materials
itemsitems6items6costOfSaleAccountnumber,5001
itemsitems6items6costOfSaleAccounttype,Cost of Goods Sold
itemsitems6items6costOfSaleAccountdetailType,Expense
itemsitems6assetAccount,null
itemsitems7id,80822157
itemsitems7skuId,72577346
itemsitems7name,*EZT-113B
itemsitems7code,*EZT-113B
itemsitems7description,EZ TRAP 3/4in CONDENSATE TRAP W/BRUSH
itemsitems7quantity,1
itemsitems7cost,17.69
itemsitems7items7generalLedgerAccountname,50050-COGS - Materials_NON-INV
itemsitems7items7generalLedgerAccountnumber,188
itemsitems7items7generalLedgerAccounttype,Income
itemsitems7items7generalLedgerAccountdetailType,Income
itemsitems7items7costOfSaleAccountname,Cost of Goods Sold:Materials
itemsitems7items7costOfSaleAccountnumber,5001
itemsitems7items7costOfSaleAccounttype,Cost of Goods Sold
itemsitems7items7costOfSaleAccountdetailType,Expense
itemsitems7assetAccount,null
itemsitems8id,80822158
itemsitems8skuId,72578300
itemsitems8name,*ICC74-017
itemsitems8code,*ICC74-017
itemsitems8description,CARRIER UNIT COVER
itemsitems8quantity,1
itemsitems8cost,78.25
itemsitems8items8generalLedgerAccountname,50050-COGS - Materials_NON-INV
itemsitems8items8generalLedgerAccountnumber,188
itemsitems8items8generalLedgerAccounttype,Income
itemsitems8items8generalLedgerAccountdetailType,Income
itemsitems8items8costOfSaleAccountname,Cost of Goods Sold:Materials
itemsitems8items8costOfSaleAccountnumber,5001
itemsitems8items8costOfSaleAccounttype,Cost of Goods Sold
itemsitems8items8costOfSaleAccountdetailType,Expense
itemsitems8assetAccount,null
itemsitems9id,80822159
itemsitems9skuId,15121803
itemsitems9name,MLKE0425
itemsitems9code,MLKE0425
itemsitems9description,4" x 25' Chimney liner
itemsitems9quantity,1
itemsitems9cost,66.8
itemsitems9items9generalLedgerAccountname,50050-COGS - Materials_INV
itemsitems9items9generalLedgerAccountnumber,185
itemsitems9items9generalLedgerAccounttype,Income
itemsitems9items9generalLedgerAccountdetailType,Income
itemsitems9items9costOfSaleAccountname,Cost of Goods Sold:Materials
itemsitems9items9costOfSaleAccountnumber,5001
itemsitems9items9costOfSaleAccounttype,Cost of Goods Sold
itemsitems9items9costOfSaleAccountdetailType,Expense
itemsitems9items9assetAccountname,Inventory
itemsitems9items9assetAccountnumber,1200
itemsitems9items9assetAccounttype,Other Current Asset
itemsitems9items9assetAccountdetailType,Asset
itemsitems10id,80822160
itemsitems10skuId,15123591
itemsitems10name,59TP6B060V17--14K
itemsitems10code,59TP6B060V17--14K
itemsitems10description,96% 2-SPD 60K FURNACE
itemsitems10quantity,1
itemsitems10cost,1053
itemsitems10items10generalLedgerAccountname,50060-COGS - Equipment_INV
itemsitems10items10generalLedgerAccountnumber,186
itemsitems10items10generalLedgerAccounttype,Income
itemsitems10items10generalLedgerAccountdetailType,Income
itemsitems10items10costOfSaleAccountname,Cost of Goods Sold:Equipment
itemsitems10items10costOfSaleAccountnumber,5002
itemsitems10items10costOfSaleAccounttype,Cost of Goods Sold
itemsitems10items10costOfSaleAccountdetailType,Expense
itemsitems10items10assetAccountname,Inventory
itemsitems10items10assetAccountnumber,1200
itemsitems10items10assetAccounttype,Other Current Asset
itemsitems10items10assetAccountdetailType,Asset
customFields,null
externalData,null
